no_id;judul;author;penerbit;isBestSeller;original_rating;adjusted_rating;rating_count;review_count;genre;Unnamed: 10
445;Kita Semua Pernah Sedih;Boy Candra;Media Kita;1.0;4.25;4.0;8.0;;novel;
446;Around The World In Eighty Days;Jules Verne;Narasi;0.0;3.87;4.0;30.0;;fiksi_sastra;
447;Mata yang Enak Dipandang;Ahmad Tohari;Gramedia Pustaka Utama;1.0;4.06;4.0;53.0;;novel;
448;Kubah;Ahmad Tohari;Gramedia Pustaka Utama;1.0;3.81;4.0;954.0;;novel;
449;Fahrenheit 451;Ray Bradbury;Gramedia Pustaka Utama;0.0;3.98;4.0;2107941.0;;novel;
450;Not After Midnight;Dephne Du Maurier;Penerbit Noktah;0.0;3.83;4.0;7369.0;;cerpen;
451;Dentang Ketiga Belas;Maya Lestari Gf;Laksana;0.0;3.0;3.0;1.0;;novel;
452;Para Bajingan Yang Menyenangkan;Puthut Ea;Buku Mojok;0.0;3.91;4.0;407.0;;novel;
453;Rumah di Tepi Kanal (By The Pricking of My Thumbs);Agatha Christie;Gramedia Pustaka Utama;0.0;3.76;4.0;19308.0;;novel;
454;Sherlock Holmes Misteri Kacamata Berbingkai Emas;Sir Arthur Conan Doyle;Penerbit Noktah;0.0;4.06;4.0;16.0;;novel;
455;Partners in Crime (Pasangan Detektif);Agatha Christie;Gramedia Pustaka Utama;0.0;3.78;4.0;17366.0;;novel;
456;Aku Yang Tak Bernama di Hatimu;Egha Latoya;Gramedia Pustaka Utama;0.0;3.85;4.0;13.0;;novel;
457;Manusia Bermiliar-Miliar Cuma Kamu Yang Bikin Ambyar;Alfin Rizal;Mediakita;0.0;3.67;4.0;3.0;;novel;
458;Musuh Bebuyutan;Gunawan Tri Atmodjo;Diva Press;0.0;3.0;3.0;1.0;1.0;novel;
460;Perburuan Piring Emas;Jacques Futrelle;Laksana;0.0;3.44;3.0;111.0;;novel;
461;BSD Metropop: Yes. I Do;Shandy Tan;Gramedia Pustaka Utama;0.0;2.82;3.0;28.0;10.0;novel;
466;Anomali Hati;Lubis Grafura;Buku Mojok;0.0;3.75;4.0;71.0;;novel;
467;Banana Choreo;Sayyidatul Imamah;Laksana;0.0;3.0;3.0;2.0;;romance;
469;Zadig;Voltaire;Divapress;0.0;3.72;4.0;2026.0;;novel;
470;Kesempatan Kedua;Henny Simamora;Elefante;0.0;3.8;4.0;5.0;;novel;
471;Elegi Sendok Garpu;Bagus Dwi Hananto;Buku Mojok;0.0;3.51;4.0;65.0;15.0;fiksi_sastra;
474;BSD Cr Blush: Only The Brave Try Ballet;Stefanie London;Elex Media Komputindo;0.0;3.64;4.0;152.0;;romance;
475;EXO Salah Gaul 4;Evibow88;Suka Buku;0.0;4.34;4.0;29.0;;cerpen;
